question,keywords,answer
University Health Services at the University of Ibadan,university health services; counseling services; Health and wellness; Emotional support; Medical counseling,"{'counseling_clinic': 'Provides 24-hour counseling services as part of its mental health support.', 'mental_health_clinic': 'Offers specialized mental health services with a visiting psychiatrist on Wednesdays.', 'medical_social_work_services': ['Counseling', 'Student support', 'Situational crisis management', 'Referrals', 'Home visits', 'Sex and sexualities issues']}"
Career development and counselling centre at the University of Ibadan,counseling services; career development and counselling centre; Student counseling; Career guidance; Personal development counseling,"{'services': 'Focuses on career development and counseling to support students in their professional paths.', 'contact': ""Available through the university's official website""}"
Jaja clinic at the University of Ibadan,university health services; jaja clinic; health services,"{'Jaja cliniclocation': 'Located on campus, the Jaja Clinic provides primary healthcare services to students.', 'services': ['General medical consultations', 'Emergency care', 'Referrals to specialized services'], 'registration': 'Mandatory for all students; failure to register may result in a surcharge and denial of service.'}"
university College Hospital location at the University of Ibadan,university college hospital; UCH; uch; U.C.H; u.c.h; Healthcare services,"Location: Strategically located near the university, UCH is a federal teaching hospital attached to the University of Ibadan. | tertiary_healthcare service: Provides advanced medical services across various specialties. | training_and_research service: Offers postgraduate residency training programs and houses several research centers, including the Institute of Advanced Medical Research and Training (IAMRAT). | community_outreach service: Engages in community-based healthcare services at several locations around Ibadan."
Institute of child health at the University of Ibadan,institute of child health; child health; children health,"Location: Situated within the College of Medicine, UCH. | {'child and adolescent health': 'Focuses on research, training, and services related to child health.', 'operational_strategy': ['Child welfare clinics', 'Adolescent health clinics', 'Routine laboratory services']}"
X-ray and screening centers at the University of Ibadan,other facilities; xray and screening centers; x-ray centers; Radiology services; Medical checkups,"Various faculties have designated centers for medical screening, including the College of Clinical Sciences and Veterinary Medicine."
Internship opportunities at the University of Ibadan,internship opportunities; career guidance and counsellingunit; career development programs; Guidance for student internships; Career coaching for UI studentsUniversity of Ibadan job counseling; shell nigeria siwes programme; shell nigeria; college research and innovation management; UI portal; internship portal,"{'Career guidance and counselling description': 'Collaborates with corporate organizations to offer internships and career talks for students.', 'services': ['Facilitates placements in industries for practical training.', 'Focus areas include technology and agriculture.']} | {'Shell Nigeria description': 'Offers internships to Nigerian students in higher institutions, focusing on engineering, geosciences, IT, sciences, social sciences, and commercial fields.', 'eligibility': ['Must be a full-time undergraduate student.', 'Minimum CGPA of 3.5.']} | {'College research and innovation management description': 'Provides internship opportunities for students to gain relevant career experience in research and innovation.'} | {'university of ibadan internshipportal description': 'Manages internship placements for students, though currently closed for new applications.'}"
University of ibadan alumni association (UIIA) at the University of Ibadan,alumni network; university of ibadan alumni association; UIIA; former students network; alumni events and programs,"{""Alumni's"": 'The official alumni body of the university, connecting graduates worldwide.', 'activities': ['Organizes events, reunions, and awards to celebrate alumni achievements.'], 'contact_information': {'phone': '+2348179236929', 'email': ['uialumni@ui.edu.ng', 'uiaa60@yahoo.com']}} | {'Global Presence': ""UI's alumni network includes notable figures in literature, politics, business, and academia."", 'notable_alumni': ['Wole Soyinka (Nobel Laureate)', 'Chinua Achebe (Renowned Author)', 'Miriam Olusanya (First female MD of GTBank)']} | {""Alumni's direntory"": 'The university is compiling an alumni directory to enhance connections among graduates.', 'encouragement': 'Graduates are encouraged to submit their information for inclusion.'}"
Opportunities for students and graduates - mentorship programs at the University of Ibadan,opportunities for students and graduates; mentorship programs; workshops and seminars; internship networking; alumni networking; student networking,"Alumni mentor students through career guidance programs organized by the Career Guidance and Counselling Unit. | Reunions and conferences provide opportunities to connect with successful alumni for internships, job placements, and collaborations. | The alumni association honors outstanding individuals to inspire younger generations. | Alumni connections help facilitate job placements and internships for graduates through industry partnerships. | Alumni contribute to scholarship funds to support indigent or high-achieving students."
Notable alumni at the University of Ibadan,notable alumni; alumni achievements; alumni in business; Successful UI alumni,Wole Soyinka (Nobel Prize Winner in Literature) | Chinua Achebe (Author of 'Things Fall Apart') | Ifeanyi Okowa (Governor of Delta State) | Miriam Olusanya (First female MD of GTBank) | Claude Ake (Renowned political economist) | Ken Saro-Wiwa (Environmental activist and writer)
Overview at the University of Ibadan,University of Ibadan; UIHistory of University of Ibadan,"The University of Ibadan (UI) is a leading institution in Nigeria for research, innovation, and technology development. It fosters innovation, commercializes research outcomes, and addresses societal challenges through technology."
Key initiatives and programs - commercialization of research and innovation at the University of Ibadan,key initiatives and programs; commercialization of research and innovation; University of Ibadan; UI,"{'description': 'UI has a dedicated committee to commercialize patents and intellectual properties developed by researchers.', 'collaborations': 'The university partners with businesses and research funders to translate innovations into practical applications.', 'focus_areas': ['Agriculture', 'Energy', 'Health', 'Infrastructure']}"
Key initiatives and programs - university of ibadan research foundation uirf at the University of Ibadan,key initiatives and programs; university of ibadan research foundation uirf; Academic grants; Scholarly support; Research funding; University of Ibadan Research Foundation UI; Geo Hackathon; international innovation conference,"{'Research Projects': 'Funds interdisciplinary research projects addressing national development challenges.', 'focus_areas': ['Agriculture', 'Energy', 'Health', 'Water Resources']} | {'College of Medicine': 'College of Medicine', 'description': 'Engages medical students in research through structured programs, mentorship, and faculty collaborations.', 'goal': 'Builds a strong research culture while addressing critical health challenges.'} | {'Geo Hackathons': ""Collaborates with Oyo State's Urban Renewal Project."", 'focus': 'Uses geospatial data for urban resilience solutions, including flood risk management and urban planning.'} | {'International Innovation Conference event': 'Held during UI’s 75th anniversary in 2024.', 'theme': 'Research, Innovation, and Sustainable Development.', 'goal': 'Fosters global partnerships between academia, industry, and policymakers.'}"
Focus areas of innovation at the University of Ibadan,focus areas of innovation; areas of innovation; innovation focus,Agriculture | Energy | Health | Infrastructure
Distance learning centre (DLC) at the University of Ibadan,distance learning centre; dlconline learning platforms and resources; online learning; coursera; Online Library,"{'DLC': 'UI operates an Open Distance eLearning (ODeL) mode through its Distance Learning Centre (UIDLC).', 'courses_offered': 'Various faculties including Arts, Science, Education, Law, and Social Sciences.', 'learning_management_system': 'Students access materials via the UIDLC LMS for remote learning.', 'Coursera': 'UI partners with Coursera to offer free access to over 3,800 courses.', 'eligibility': 'Students and staff can enroll using their institutional email (@stu.ui.edu.ng).'} | {'Online Library': 'The Kenneth Dike Library provides various digital resources.', 'resources': ['Online Public Access Catalogue (OPAC)', 'Online books and journals', 'Internet archives', 'CD-ROM databases', 'Reference materials'], 'accessibility': 'Available both on-campus and remotely for distance learners.'}"
Features of online learning resources - interactivity at the University of Ibadan,interactivity; features of online learning,"Platforms include discussion forums, quizzes, and live sessions."
How to access online resources - uidlc_student_portal at the University of Ibadan,how to access online resources; online resources; dlc student portal,"{'url': 'https://dlcportal.ui.edu.ng/login', 'login_details': 'Matriculation number or registered email address.', 'instructions': 'Use @stu.ui.edu.ng email to enroll for free courses.', 'access_method': 'Available through Kenneth Dike Library’s digital platforms.', 'technical_support': 'For LMS or email issues, contact lmssupport@ui.edu.ng.'}"
Free wifi services - availability at the University of Ibadan,free wifi services; free wifi; wifi availaibility,"All halls of residence (may not function optimally). | All 13 faculties, covering 75% of the 107 departments. | Main library (a small fee may be required)."
Paid wifi services - locations at the University of Ibadan,paid wifi services; paid wifi; wifi service,Main library | A small fee is charged for access. | Wi-Fi access points are distributed across academic and administrative areas.
Concentration at the University of Ibadan,access points; concentration points,Faculty Libraries | Kenneth Dike Library (KDL)
Wifi performance at the University of Ibadan,wifi performance; wifi challenges,Free Wi-Fi in halls of residence may not function optimally.
Power supply at the University of Ibadan,power supply challenges,Unstable power supply affects connectivity.
Bandwidth limitations at the University of Ibadan,bandwidth limitations,Bandwidth is limited due to reliance on middlemen rather than direct providers.
future plans - consideration at the University of Ibadan,future plans,The university administration is exploring implementing fully functional paid Wi-Fi services for students.
Innovate UK Business Connect at the University of Ibadan,Innovationuk business; key partnerships,"{'focus': 'Commercialization of research and innovation outcomes.', 'details': 'UI collaborates with Innovate UK to commercialize patents and intellectual property, supporting national development through innovation.'}"
Huawei Technologies at the University of Ibadan,key partnerships; huawei,"{'focus': 'ICT training and job opportunities.', 'details': 'Huawei organizes job fairs, campus talks, and certification programs to bridge the digital skills gap and enhance employability.'}"
"Infinix, UNESCO, and Google at the University of Ibadan",Google; Infinix; unesco; key partnerships,"{'focus': 'STEM education and AI/robotics training.', 'details': 'Through the CogLabs workshop, students engage in AI programming, robotics training, and hands-on STEM education using innovative tools.'}"
Small and Medium Enterprises (SMEs) at the University of Ibadan,medium Enterprises; small Enterprises; key partnerships,"{'focus': 'Entrepreneurship development.', 'details': 'UI collaborates with SMEs to promote business incubation through mentorship, networking, and entrepreneurship fairs.'}"
OPay Scholarship Initiative at the University of Ibadan,key partnerships; opay scholarship,"{'focus': 'Education funding.', 'details': 'OPay provides a 10-year scholarship program to support financially underprivileged but talented students.'}"
Technology infrastructure development - Infinix ICT Student Resource Centre at the University of Ibadan,technology infrastructure development; ict; infinix,"{'focus': 'Technological excellence.', 'details': 'Renovated by Infinix to host AI, robotics, and emerging tech workshops.'}"
technology_infrastructure_development - Public-Private Partnerships (PPP) at the University of Ibadan,technology infrastructure development; public private; ppp,"{'focus': 'Infrastructure development.', 'details': ""Collaborations with private entities enhance UI's ICT learning facilities.""}"
Opportunities for students - job fairs and career development at the University of Ibadan,job fairs and careercdevelopment; opportunities for students; Huawei,Huawei job fairs offering direct employment opportunities. | SME networking events for entrepreneurship.
Opportunities for students - scholarships at the University of Ibadan,Opay scholarship; opportunities for students,OPay’s 10-year scholarship program for talented students.
